登録日,表示/非表示フラグ,各物件トップ表示順位,物件名,TOP物件コメント,物件URL,物件サムネイル画像,エリア,所在地,利用可能路線1,利用可能路線2,利用可能路線3,利用可能路線4,メリットコピー,予定価格の下限,予定価格の上限,販売価格の下限,販売価格の上限,専有面積 下限,専有面積 上限,資料請求URL,エリア毎の並び順,間取り(下限値),間取り(上限値),NEW,駅5分,ファミリーにおすすめ,SINGLE・DINKS,現地内覧可,モデルルーム公開中
2012/11/30,非表示,palace,パレステージ六町,2月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/rokucho/,http://www.nisshinfudosan.co.jp/img/thumb/h24/rokucho_icon.gif,東京23区,東京都足立区六町一丁目16番,つくばエクスプレス「六町」駅より徒歩4分,なし,なし,なし,明るい光を取り入れる全戸南向きの心地よい住空間,3140,3140,3140,3140,63.22㎡,63.22㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/rokucho,,3LDK,3LDK,,,,,,
2012/10/31,非表示,palace,パレステージ中神,12月下旬分譲開始,http://www.nisshinfudosan.co.jp/nakagami/,http://www.nisshinfudosan.co.jp/img/thumb/h24/nakagami_icon.gif,東京都下,東京都昭島市朝日町二丁目4番,JR青梅線「中神」駅より徒歩8分,JR青梅線「昭島」駅より徒歩12分,なし,なし,全戸南西または南東向きの明るいプランニング,3820,3820,3820,3820,76.63㎡,76.63㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nakagami,3,4LDK,4LDK,,,,,,
2012/7/19,非表示,palace,パレステージ福生,9月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/fussa,http://www.nisshinfudosan.co.jp/img/thumb/h24/fussa_icon.gif,東京都下,東京都福生市大字福生885番1,JR青梅線「福生」駅より徒歩3分,なし,なし,なし,JR青梅線「福生」駅から徒歩３分。生活利便性にも優れた駅近立地,2940,3510,2940,3510,64.82㎡,74.29㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/fussa,4,3LDK,4LDK,,,,,,
2012/6/29,非表示,palace,パレステージ練馬,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/nerima,http://www.nisshinfudosan.co.jp/img/thumb/h24/nerima_icon.gif,東京23区,東京都練馬区練馬二丁目33番,西武池袋線「練馬」駅より徒歩12分,東京メトロ有楽町線・副都心線「氷川台」駅より徒歩14分,都営大江戸線「豊島園」駅より徒歩11分,都営大江戸線「練馬」駅より徒歩12分,見晴らしの良い低層の街並みに囲まれた閑静な住環境,4130,4130,4130,4130,62.97㎡,62.97㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nerima,,3LDK,3LDK,,,,,,
2012/6/29,非表示,palace,パレステージ中野野方,9月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/nakano_nogata,http://www.nisshinfudosan.co.jp/img/thumb/h24/nakano_nogata_icon.gif,東京23区,東京都中野区野方二丁目63番,西武新宿線「野方」駅より徒歩7分,JR中央線・総武線「高円寺」駅より徒歩17分,なし,なし,西武新宿線・ＪＲ中央線・総武線の3路線利用可の快適な立地,5130,5130,5130,5130,75.20㎡,75.20㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nakano_nogata,,4LDK,4LDK,,,,,,
2012/6/29,非表示,palace,パレステージ神田,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/kanda/,http://www.nisshinfudosan.co.jp/img/thumb/h24/kanda_icon.gif,東京23区,東京都千代田区内神田三丁目3番,JR線「神田」駅より徒歩3分,東京メトロ線「大手町」駅より徒歩6分,なし,なし,千代田区内神田。山手線内側の立地に誕生する全32邸,4580,4620,4580,4620,54.25㎡,54.25㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/kanda,,1LDK+S,1LDK+S,,,,,,
2012/6/28,非表示,palace,パレステージ錦糸町,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/kinshicho,http://www.nisshinfudosan.co.jp/img/thumb/h24/kinshicho_icon.gif,東京23区,東京都墨田区大平一丁目15番,JR総武線・総武線快速「錦糸町」駅より徒歩8分,東京メトロ半蔵門線「錦糸町」駅より徒歩9分,なし,なし,3路線利用可能で「東京」「新宿」「渋谷」へもダイレクトアクセス,3890,4390,3890,4390,54.06㎡,62.36㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/kinshicho,,1LDK+S,3LDK,,,,,,
2012/6/28,非表示,palace,パレステージ綾瀬,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/ayase,http://www.nisshinfudosan.co.jp/img/thumb/h24/ayase_icon.gif,東京23区,東京都足立区東綾瀬三丁目2番,東京メトロ千代田線「綾瀬」駅より徒歩14分,JR常磐緩行線「綾瀬」駅より徒歩14分,東京メトロ千代田線「北綾瀬」駅より徒歩12分,なし,公園に囲まれた緑豊かな住環境,3680,3820,3680,3820,75.68㎡,85.44㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ayase,7,3LDK＋S,4LDK,,,,,,
2012/6/28,非表示,palace,パレステージ西新井本町,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/nishiarai_honcho/,http://www.nisshinfudosan.co.jp/img/thumb/h24/nishiarai_honcho_icon.gif,東京23区,東京都足立区西新井本町二丁目14番,東武大師線「大師前」駅より徒歩11分,日暮里・舎人ライナー「江北」駅より徒歩8分,なし,なし,毎日のくらしを明るくする全戸南向きのルームプラン,2940,3510,2940,3510,62.62㎡,73.17㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nishiarai_honcho,8,3LDK～4LDK,4LDK,,,,,,
2012/6/28,表示,palace,パレステージ本厚木,8月中旬分譲開始,http://www.nisshinfudosan.co.jp/honatsugi/,http://www.nisshinfudosan.co.jp/img/thumb/h24/honatsugi_icon.gif,神奈川,神奈川県厚木市水引2丁目2番,小田急小田原線「本厚木」駅より徒歩13分,なし,なし,なし,お祭りやイベントの多い楽しい街に誕生する全95邸,2870,2870,2870,2870,73.20㎡,73.20㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/honatsugi,,3LDK+N,3LDK+N,,,,,,
2012/6/1,表示,palace,パレステージ横浜台町,7月中旬分譲開始,http://www.nisshinfudosan.co.jp/yokohama_daimachi/,http://www.nisshinfudosan.co.jp/img/thumb/h24/yokohamadaimachi_icon.gif,神奈川,神奈川県横浜市神奈川区台町7番,JR線「横浜」駅より徒歩6分,東急東横線「横浜」駅より徒歩6分,相模鉄道本線「横浜」駅より徒歩6分,京浜急行本線「横浜」駅よ徒歩6分,ビックターミナル「横浜」駅より徒歩6分,4110,4110,4110,4110,54.30㎡,54.30㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/yokohama_daimachi,,2LDK,2LDK,,,,,,
2012/5/17,表示,palace,パレステージ町田イースト,先着順受付中,http://www.nisshinfudosan.co.jp/machida_east/,http://www.nisshinfudosan.co.jp/img/thumb/h24/machida_east_icon.gif,東京都下,東京都町田市原町田四丁目19番,JR横浜線「町田」駅より徒歩7分,小田急小田原線「町田」駅より徒歩9分,なし,なし,小田急線・JR横浜線2路線利用で通勤、通学、買い物に便利な都心へ直結,3720,3800,3720,3800,63.24㎡,64.02㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/machida_east,,3LDK,3LDK,,,,,,
2012/3/23,表示,palace,パレステージ三ツ沢上町,4月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/mitsuzawa/,http://www.nisshinfudosan.co.jp/img/thumb/h24/mitsuzawa_icon.gif,神奈川,神奈川県横浜市神奈川区三ツ沢上町3番12,横浜市営地下鉄ブルーライン「三ッ沢上町」駅より徒歩2分,なし,なし,なし,三ツ沢上町駅より徒歩2分。横浜も身近な生活圏に,3290,3290,3290,3290,55.78㎡,55.78㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/mitsuzawa,,2LDK,2LDK,,,,,,
2012/3/23,表示,palace,パレステージ根岸,4月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/negishi/,http://www.nisshinfudosan.co.jp/img/thumb/h24/negishi_icon.gif,東京23区,東京都台東区根岸3丁目22番,JR山手線「鶯谷」駅より徒歩8分,東京メトロ日比谷線「入谷」駅より徒歩7分,JR線「上野」駅より徒歩16分,なし,利便性が高いＪＲ山手線を利用できる3駅8路線のマルチアクセス,3160,3340,3160,3340,53.99㎡,55.51㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/negishi,,1LDK+Ｓ,2LDK,,,,,,
2012/2/10,表示,palace,パレステージ井土ヶ谷,3月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/idogaya/,http://www.nisshinfudosan.co.jp/img/thumb/h23/idogaya_icon.gif,神奈川,神奈川県横浜市南区永田東二丁目1番,京浜急行本線「井土ヶ谷」駅より徒歩7分,JR横須賀線・湘南新宿ライン「保土ヶ谷」駅より徒歩15分,なし,なし,横浜駅へ直通７分。暮らすほど便利さと楽しみが広がる街「井土ヶ谷」,4130,4330,4130,4330,70.60㎡,75.33㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/idogaya,,3LDK,4LDK,,,,,,
2012/2/10,表示,palace,パレステージ町田サウスト,3月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/machida/,http://www.nisshinfudosan.co.jp/img/thumb/h23/machida_icon.gif,東京都下,東京都町田市原町田二丁目22番,JR横浜線「町田」駅より徒歩8分,小田急線「町田」駅より徒歩13分,なし,なし,町田駅より徒歩８分。小田急線・JR横浜線２路線利用可能で都心へ軽快アクセス,3530,3530,3530,3530,64.38㎡,64.38㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/machida,,3LDK,3LDK,,,,,,
2011/10/25,表示,palace,日神パレステージ初台オペラ通り,11月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/hatsudai/,http://www.nisshinfudosan.co.jp/img/thumb/h23/hatsudai_icon.gif,東京23区,東京都渋谷区本町一丁目2番,京王新線「初台」駅より徒歩1分,なし,なし,なし,東京オペラシティに隣接する究極のポジションに誕生,2970,3590,2970,3590,54.54㎡,64.81㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hatsudai,,2LDK＋S,2LDK＋S,,,,,,
2011/10/14,表示,palace,パレステージ日吉さくらが丘,1月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/hiyoshi/,http://www.nisshinfudosan.co.jp/img/thumb/h23/hiyoshi_icon.gif,神奈川,神奈川県川崎市高津区蟹ヶ谷,東急東横線「日吉」駅よりバス10分「さくらが丘」停留所より徒歩2分,なし,なし,なし,陽ざしと緑に包まれた日吉の丘に誕生する全99邸,3140,4220,3140,4220,64.16㎡,81.54㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hiyoshi,,2LDK＋S,4LDK,,,,,,
2011/7/12,表示,palace,日神パレステージ府中西,9月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/fuchunishi/,http://www.nisshinfudosan.co.jp/img/thumb/h23/fuchunishi_icon.gif,東京都下,東京都府中市本宿町二丁目14番,JR南武線「西府」駅より徒歩7分,京王線「分倍河原」駅より徒歩13分,JR南武線「分倍河原」駅より徒歩13分,なし,明るい光を取り入れる全戸南向きの心地よい住空間,2450,2450,2450,2450,54.15㎡,54.15㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/fuchunishi,,2LDK,2LDK,,,,,,
2011/7/11,非表示,palace,日神パレステージ立川柴崎町,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/tachikawa_shibasaki/,http://www.nisshinfudosan.co.jp/img/thumb/h23/tachikawa_shibasaki_icon.gif,東京都下,東京都立川市柴崎町二丁目4番,JR中央線「立川」駅より徒歩5分,JR南武線「立川」駅より徒歩5分,多摩都市モノレール「立川南」駅より徒歩4分,JR青梅線「立川」駅より徒歩5分,ルームプランは全戸明るく開放的な角住戸の全26邸,3370,3370,3370,3370,54.01㎡,54.01㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tachikawa_shibasaki,,2LDK,2LDK,,,,,,
2011/7/8,非表示,palace,日神パレステージ大森町,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/omorimachi/,http://www.nisshinfudosan.co.jp/img/thumb/h23/omorimachi_icon.gif,東京23区,東京都大田区大森中一丁目17番,京浜急行本線「大森町」駅より徒歩4分,京浜急行本線「梅屋敷」駅より徒歩5分,なし,なし,横浜駅へ12分、東京駅へ18分、\n2駅利用で都心へ快適アクセス,3210,4000,,,54.00㎡,54.00㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/omorimachi,1,2LDK,2LDK,表示,表示,表示,表示,表示,表示
2011/7/8,非表示,palace,日神パレステージ立川曙町,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/tachikawa_akebonocho/,http://www.nisshinfudosan.co.jp/img/thumb/h23/tachikawa_akebonocho_icon.gif,東京都下,東京都立川市曙町二丁目19番,JR中央線「立川」駅より徒歩7分,JR南武線「立川」駅より徒歩7分,多摩都市モノレール「立川北」駅より徒歩7分,JR青梅線「立川」駅より徒歩7分,明るい光を取り入れる全戸南向きの心地よい住空間,3250,4070,3250,4070,54.07㎡,63.70㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tachikawa_akebonocho,,2LDK～2LDK＋S,2LDK＋S,,,,,,
2011/7/5,非表示,palace,日神パレステージ西新井,8月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/nishiarai/,http://www.nisshinfudosan.co.jp/img/thumb/h23/nishiarai_icon.gif,東京23区,東京都足立区西新井栄町二丁目11番10,東武伊勢崎線「西新井」駅より徒歩3分,なし,なし,なし,駅徒歩3分。駅前再開発により美しく生まれ変わる「西新井」に誕生,2940,3550,2940,3550,54.06㎡,64.29㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nishiarai/,,2LDK,2LDK＋S,,,,,,
2001/7/1,非表示,palace,日神パレステージ曳舟,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/hikihune/,http://www.nisshinfudosan.co.jp/img/thumb/h23/hikihune_icon.gif,東京23区,東京都墨田区八広一丁目4番,京成押上線「京成曳舟」駅より徒歩3分,東武伊勢崎線「東向島」駅より徒歩8分,東武伊勢崎線「曳舟」駅より徒歩9分,なし,徒歩8分内に3駅3路線利用可能で都心へ快適アクセス,3600,3600,3600,3600,57.51㎡,57.51㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hikihune,,2LDK,2LDK,,,,,,
2011/7/1,非表示,palace,日神パレステージ新小岩EAST,7月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/shinkoiwa_east/,http://www.nisshinfudosan.co.jp/img/thumb/h23/shinkoiwa_east_icon.gif,東京23区,東京都葛飾区新小岩四丁目7番20,JR総武線・総武線快速「新小岩」駅より徒歩7分,なし,なし,なし,東京へ直通13分、新宿25分など都心の主要エリアへスピーディーアクセス,3420,4080,3420,4080,60.75㎡,70.06㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/shinkoiwa_east,,2LDK,3LDK,,,,,,
2011/7/1,非表示,palace,日神パレステージ板橋滝野川,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/itabashi_takinogawa/,http://www.nisshinfudosan.co.jp/img/thumb/h23/itabashitakinogawa_icon.gif,東京23区,東京都北区滝野川六丁目11番,都営三田線「西巣鴨」駅より徒歩5分,JR埼京線「板橋」駅より徒歩8分,なし,なし,都営三田線とJR埼京線の2路線利用可の快適アクセス,4800,4800,4800,4800,70.56㎡,70.56㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/itabashi_takinogawa,,3LDK,3LDK,,,,,,
2011/6/28,非表示,palace,日神パレステージ梅島,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/umejima/,http://www.nisshinfudosan.co.jp/img/thumb/h23/umejima_icon.gif,東京23区,東京都足立区梅田七丁目10番,東武伊勢崎線「梅島」駅より徒歩8分,なし,なし,なし,プライバシーに優れた角住戸中心のプラン,2730,3220,2730,3220,54.90㎡,63.03㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/umejima,,2LDK,3LDK,,,,,,
2011/6/28,非表示,palace,日神パレステージ池袋西,8月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/ikebukuro_nishi/,http://www.nisshinfudosan.co.jp/img/thumb/h23/Ikebukuro_icon.gif,東京23区,東京都板橋区中丸町11番,東京メトロ有楽町線・副都心線「要町」駅より徒歩12分,JR線「池袋」駅より徒歩14分,西武池袋線「池袋」駅より徒歩14分,東武東上線「池袋」駅より徒歩14分,2駅8路線利用で主要スポットへダイレクトアクセス,4500,4580,4500,4580,63.00㎡,65.51㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ikebukuro_nishi,,3LDK,3LDK,,,,,,
2011/5/16,非表示,palace,日神パレステージ江戸川船堀,6月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/edogawa_hunabori/,http://www.nisshinfudosan.co.jp/img/thumb/h23/edogawahunabori_icon.gif,東京23区,東京都江戸川区東小松川四丁目12番,都営新宿線「船堀」駅より徒歩11分,なし,なし,なし,全12タイプの明るい南向きと東向きの２棟建て全29邸,4030,4270,4030,4270,70.20㎡,74.84㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hunabori/,9,3LDK+DEN,4LDK,,,,,,
2011/5/13,表示,palace,日神パレステージ川口元郷,6月下旬分譲開始,http://www.nisshinfudosan.co.jp/kawaguchimotogo/,http://www.nisshinfudosan.co.jp/img/thumb/h23/kawaguchimotogo_icon.gif,埼玉,埼玉県川口市元郷一丁目27番8,埼玉高速鉄道線「川口元郷」駅より徒歩9分,なし,なし,なし,明るい光を取り入れる全戸南西向きの心地よい住空間,3170,3170,3170,3170,70.33㎡,70.33㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/kawaguchimotogo,,3LDK,3LDK,,,,,,
2011/5/13,表示,palace,日神パレステージ海老名,7月中旬分譲開始,http://www.nisshinfudosan.co.jp/ebina/,http://www.nisshinfudosan.co.jp/img/thumb/h23/ebina_icon.gif,神奈川,神奈川県海老名市中央三丁目4番10,小田急小田原線「海老名」駅より徒歩7分,JR相模線「海老名」駅より徒歩11分,相模鉄道線「海老名」駅より徒歩7分,なし,間取りは全戸南向きの明るいプランニング,2780,3040,2780,3040,60.69㎡,65.08㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ebina,,2LDK＋S,3LDK,,,,,,
2011/5/9,表示,palace,日神パレステージ京王よみうりランド,6月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/keio_yomiuriland/,http://www.nisshinfudosan.co.jp/img/thumb/h23/keio_yomiuriland_icon.gif,東京都下,東京都稲城市矢野口1599番の2,京王相模原線「京王よみうりランド」駅より徒歩9分,JR南武線「矢野口」駅より徒歩9分,なし,なし,２駅２路線利用可能で都心へも軽快アクセス,2960,2960,2960,2960,70.21㎡,70.21㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/keio_yomiuriland,,2LDK+S,2LDK+S,,,,,,
2011/4/26,表示,palace,日神パレステージ四つ木,6月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/yotsugi/,http://www.nisshinfudosan.co.jp/img/thumb/h23/yotsugi_icon.gif,東京23区,東京都葛飾区四つ木二丁目19番,京成押上線「四ツ木」駅より徒歩11分,京成本線「お花茶屋」駅より徒歩17分,京成押上線「京成立石」駅より徒歩14分,なし,商業施設や小中学校が身近に揃う暮らしやすい住環境,3780,3780,3780,3780,74.99㎡,74.99㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/yotsugi,,3LDK,3LDK,,,,,,
2011/4/26,表示,palace,日神パレステージ小田急相模原フロント,6月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/odakyusagamihara/,http://www.nisshinfudosan.co.jp/img/thumb/h23/odakyusagamihara_icon.gif,神奈川,神奈川県座間市相模が丘五丁目3番,小田急小田原線「小田急相模原」駅より徒歩2分,なし,なし,なし,駅徒歩2分。新しく生まれ変わる駅前の利便性を享受する立地,3440,3440,3440,3440,73.76㎡,73.76㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/odakyu_sagamihara,,3LDK,3LDK,,,,,,
2011/3/1,表示,palace,日神パレステージ大塚,4月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/otsuka/,http://www.nisshinfudosan.co.jp/img/thumb/h23/otsuka_icon.gif,東京23区,東京都豊島区南大塚一丁目58番,JR山手線「大塚」駅より徒歩5分,東京メトロ丸ノ内線「新大塚」駅より徒歩8分,都営三田線「巣鴨」駅より徒歩9分,JR山手線「巣鴨」駅より徒歩10分,山手線内側の立地。５駅４路線利用できる軽快アクセス,3700,3700,3700,3700,54.23㎡,54.23㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/otsuka,,2LDK,2LDK,,,,,,
